epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,740.129,1.36442,0.75132,0.99811,0.7328,0.71328,0.73664,0.40782,1.46923,0.82963,1.06547,0.000148625,0.000148625,0.000148625
91,749.302,1.34009,0.74282,1.00415,0.76026,0.69928,0.74034,0.40447,1.48286,0.83557,1.07102,0.00013625,0.00013625,0.00013625
92,756.706,1.32811,0.72423,0.99945,0.75339,0.70451,0.73895,0.40684,1.48185,0.83188,1.07543,0.000123875,0.000123875,0.000123875
93,764.056,1.34676,0.73478,1.00123,0.73754,0.71577,0.74036,0.40823,1.47953,0.82799,1.07324,0.0001115,0.0001115,0.0001115
94,771.56,1.30109,0.69913,0.99327,0.76257,0.705,0.73707,0.40846,1.47336,0.82395,1.07022,9.9125e-05,9.9125e-05,9.9125e-05
95,779.031,1.32538,0.71486,0.997,0.75818,0.69855,0.73486,0.40799,1.4745,0.82766,1.07131,8.675e-05,8.675e-05,8.675e-05
96,786.494,1.3082,0.70438,0.99985,0.74946,0.7184,0.74552,0.40947,1.48597,0.81942,1.07519,7.4375e-05,7.4375e-05,7.4375e-05
97,793.822,1.32235,0.7154,0.99734,0.75221,0.71839,0.74307,0.41171,1.47398,0.82305,1.07166,6.2e-05,6.2e-05,6.2e-05
98,801.201,1.30758,0.70336,0.99699,0.73648,0.7215,0.74165,0.41048,1.47179,0.81657,1.07044,4.9625e-05,4.9625e-05,4.9625e-05
99,808.667,1.30112,0.69835,0.99569,0.75663,0.71357,0.73893,0.4091,1.47335,0.81906,1.07006,3.725e-05,3.725e-05,3.725e-05
100,816.155,1.2969,0.69653,0.99588,0.75299,0.71525,0.73947,0.4105,1.47552,0.81762,1.07335,2.4875e-05,2.4875e-05,2.4875e-05
